report_id,region_id,office_code,app_combo,app_type,avg_days,performance_standard,percent_in_standard,source_file
2020_2021_Q3,province_average,Prov / Avg.,A1,A1_L,38.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,A1,A1_T,33.5,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,A1/T1,A1_T,77.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,A1/T1,T1,77.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,A2,A2_L,42.0,30,50.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,A2,A2_T,70.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,A2/L2,A2_L,27.0,30,50.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,A2/L2,L2,27.0,30,50.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,L1,L1,38.4,25,28.0,22 22 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (L1 & L9).xlsx
2020_2021_Q3,province_average,Prov / Avg.,L1/L2,L1,29.8,30,62.5,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,L1/L2,L2,29.8,30,62.5,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,L2,L2,30.7,30,61.5,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,L2/L8,L2,62.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,L2/L8,L8,62.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,L3,L3,40.7,30,25.6,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,L4,L4,35.8,30,42.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,L9,L9,1.0,25,100.0,22 22 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (L1 & L9).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T1,T1,64.4,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T1/T2,T1,66.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T1/T2,T2,66.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T1/T2/T6,T1,60.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T1/T2/T6,T2,60.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T1/T2/T6,T6,60.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T1/T5,T1,79.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T1/T5,T5,79.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T1/T6,T1,94.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T1/T6,T6,94.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T2,T2,55.9,30,16.8,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T2/T6,T2,61.4,30,14.3,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T2/T6,T6,61.4,30,14.3,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T2/T7,T2,65.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T2/T7,T7,65.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T3,T3,77.3,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T5,T5,73.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T6,T6,64.8,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
2020_2021_Q3,province_average,Prov / Avg.,T7,T7,62.0,30,0.0,22 23 2020-10-01_2020-12-31 LTBAvgDayFirstHearing Q3 2020-2021 (Other applications).xlsx
