report_id,region_id,office_code,app_combo,app_type,avg_days,performance_standard,percent_in_standard,source_file
2021_2022_Q2,province_average,Prov / Avg.,A1,A1_L,62.0,30,0.0,22 29 2021-07-01_2021-09-30 LTBAvgDayFirstHearing Q2 2021-2022 (Other applications).xlsx
2021_2022_Q2,province_average,Prov / Avg.,A1,A1_T,36.0,30,0.0,22 29 2021-07-01_2021-09-30 LTBAvgDayFirstHearing Q2 2021-2022 (Other applications).xlsx
2021_2022_Q2,province_average,Prov / Avg.,A1/T2,A1_T,37.0,30,0.0,22 29 2021-07-01_2021-09-30 LTBAvgDayFirstHearing Q2 2021-2022 (Other applications).xlsx
2021_2022_Q2,province_average,Prov / Avg.,A1/T2,T2,37.0,30,0.0,22 29 2021-07-01_2021-09-30 LTBAvgDayFirstHearing Q2 2021-2022 (Other applications).xlsx
2021_2022_Q2,province_average,Prov / Avg.,A2,A2_L,108.6,30,0.0,22 29 2021-07-01_2021-09-30 LTBAvgDayFirstHearing Q2 2021-2022 (Other applications).xlsx
2021_2022_Q2,province_average,Prov / Avg.,A2,A2_T,134.0,30,0.0,22 29 2021-07-01_2021-09-30 LTBAvgDayFirstHearing Q2 2021-2022 (Other applications).xlsx
2021_2022_Q2,province_average,Prov / Avg.,L1,L1,65.2,25,0.3,22 28 2021-07-01_2021-09-30 LTBAvgDayFirstHearing Q2 2021-2022 (L1 & L9).xlsx
2021_2022_Q2,province_average,Prov / Avg.,L1/L2,L1,93.4,30,1.0,22 29 2021-07-01_2021-09-30 LTBAvgDayFirstHearing Q2 2021-2022 (Other applications).xlsx
2021_2022_Q2,province_average,Prov / Avg.,L1/L2,L2,93.4,30,1.0,22 29 2021-07-01_2021-09-30 LTBAvgDayFirstHearing Q2 2021-2022 (Other applications).xlsx
2021_2022_Q2,province_average,Prov / Avg.,L2,L2,63.6,30,5.7,22 29 2021-07-01_2021-09-30 LTBAvgDayFirstHearing Q2 2021-2022 (Other applications).xlsx
2021_2022_Q2,province_average,Prov / Avg.,L2/L3/L9,L2,54.0,30,0.0,22 29 2021-07-01_2021-09-30 LTBAvgDayFirstHearing Q2 2021-2022 (Other applications).xlsx
2021_2022_Q2,province_average,Prov / Avg.,L2/L3/L9,L3,54.0,30,0.0,22 29 2021-07-01_2021-09-30 LTBAvgDayFirstHearing Q2 2021-2022 (Other applications).xlsx
