report_id,region_id,office_code,app_combo,app_type,avg_days,performance_standard,percent_in_standard,source_file
2022_2023_Q3,province_average,Prov / Avg.,A1,A1_L,76.5,30,0.0,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,A2,A2_L,80.5,30,0.0,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,L1,L1,100.0,25,0.0014655593551538837,22 38 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (L1 & L9) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,L1/L2,L1,66.9,30,4.9,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,L1/L2,L2,66.9,30,4.9,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,L1/L3,L1,46.8,30,33.3,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,L1/L3,L3,46.8,30,33.3,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,L2,L2,75.3,30,0.6,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,L2/L3/L9,L2,65.0,30,0.0,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,L2/L3/L9,L3,65.0,30,0.0,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,L2/L3/L9,L9,65.0,30,0.0,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,L3,L3,43.1,30,7.8,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,L3/L9,L3,49.0,30,0.0,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,L3/L9,L9,49.0,30,0.0,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,L4,L4,74.7,30,0.0,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,L5,L5,89.0,30,0.0,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,L9,L9,93.5,25,0.0,22 38 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (L1 & L9) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,T1,T1,64.0,30,0.0,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,T2,T2,41.4,30,36.7,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,T2/T6,T2,43.0,30,23.5,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,T2/T6,T6,43.0,30,23.5,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,T5,T5,41.0,30,0.0,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
2022_2023_Q3,province_average,Prov / Avg.,T6,T6,85.7,30,0.0,22 39 2022-10-01_2022-12-31 LTBAvgDayFirstHearing Q3 2022-2023 (Other applications) - TOP.xlsx
