report_id,region_id,office_code,app_combo,app_type,avg_days,performance_standard,percent_in_standard,source_file
2021_2022_Q3,province_average,Prov / Avg.,A1/T1,A1_T,25,30,100.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,A1/T1,T1,25,30,100.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,A2,A2_L,84.3,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,L1,L1,74.8,25,0.0,22 30 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (L1 & L9).xlsx
2021_2022_Q3,province_average,Prov / Avg.,L1/L2,L1,90.7,30,2.2,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,L1/L2,L2,90.7,30,2.2,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,L2,L2,66.1,30,2.5,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,L2/L8,L2,66,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,L2/L8,L8,66,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,L2/L9,L2,66.7,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,L2/L9,L9,66.7,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,L3,L3,60.5,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,L4,L4,63,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,L7,L7,71,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,L9,L9,83.3,25,0.0,22 30 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (L1 & L9).xlsx
2021_2022_Q3,province_average,Prov / Avg.,T1/T2,T1,34,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,T1/T2,T2,34,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,T1/T3,T1,36,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,T1/T3,T3,36,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,T2,T2,34.2,30,54.5,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,T2/T6,T2,39.8,30,50.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,T2/T6,T6,39.8,30,50.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,T3,T3,49,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,province_average,Prov / Avg.,T6,T6,38.5,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,region_central,CE,A1/T1,A1_T,25,30,100.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,region_central,CE,A1/T1,T1,25,30,100.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,region_central,CE,L1,L1,78.2,25,0.0,22 30 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (L1 & L9).xlsx
2021_2022_Q3,region_central,CE,L1/L2,L1,,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,region_central,CE,L1/L2,L2,,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,region_central,CE,L2,L2,67.1,30,2.6,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,region_central,CE,L3,L3,61.1,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,region_central,CE,L4,L4,67,30,0.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,region_central,CE,L9,L9,123.3,25,0.0,22 30 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (L1 & L9).xlsx
2021_2022_Q3,region_central,CE,T2,T2,31.5,30,50.0,22 31 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (Other applications).xlsx
2021_2022_Q3,region_eastern,EA,L1,L1,72.8,25,0.0,22 30 2016-10-01_2021-12-31 LTBAvgDayFirstHearing Q3 2021-2022 (L1 & L9).xlsx
