source_file,line_number,raw_line,cleaned_name,metadata
1998_99_names.txt,65,BRIAN L. RODENHURST,BRIAN L. RODENHURST,
1998_99_names.txt,67,JEFFREY ROGERS,JEFFREY ROGERS,
1998_99_names.txt,69,NANCY SAVAGE,NANCY SAVAGE,
1998_99_names.txt,71,SHERYL RUTH SENIS,SHERYL RUTH SENIS,
1998_99_names.txt,73,CYNTHIA LYNN SUMMERS,CYNTHIA LYNN SUMMERS,
1998_99_names.txt,75,CATHERINE SKINNER,CATHERINE SKINNER,
1998_99_names.txt,77,DAVID G. TIMMS,DAVID G. TIMMS,
1998_99_names.txt,79,DIANE L. TINKER,DIANE L. TINKER,
1998_99_names.txt,81,DAVID R. WRIGHT,DAVID R. WRIGHT,
2006_07_text.txt,1,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,30,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,34,Elizabeth Beckett,Elizabeth Beckett,
2006_07_text.txt,42,Eli Fellman,Eli Fellman,
2006_07_text.txt,50,Régent Gagnon,Régent Gagnon,
2006_07_text.txt,60,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,66,Charles Gascoyne,Charles Gascoyne,
2006_07_text.txt,72,Murray Wm. Graham,Murray Wm. Graham,
2006_07_text.txt,80,Sean Henry,Sean Henry,
2006_07_text.txt,90,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,93,Guy Savoie,Guy Savoie,
2006_07_text.txt,100,Joseph A. Berkovits,Joseph A. Berkovits,
2006_07_text.txt,106,Louis Bourgon,Louis Bourgon,
2006_07_text.txt,118,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,124,Elizabeth Brown,Elizabeth Brown,
2006_07_text.txt,130,Enza Buffa,Enza Buffa,
2006_07_text.txt,139,Kim Bugby,Kim Bugby,
2006_07_text.txt,148,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,154,William Burke,William Burke,
2006_07_text.txt,162,Ruth Carey,Ruth Carey,
2006_07_text.txt,171,Vincent Ching,Vincent Ching,
2006_07_text.txt,180,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,186,Brian Cormier,Brian Cormier,
2006_07_text.txt,196,Susan Ellacott,Susan Ellacott,
2006_07_text.txt,208,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,211,Nancy Fahlgren,Nancy Fahlgren,
2006_07_text.txt,218,Cathryn Forbes,Cathryn Forbes,
2006_07_text.txt,225,Suzy Franklyn,Suzy Franklyn,
2006_07_text.txt,240,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,246,Pearl Gréwal,Pearl Gréwal,
2006_07_text.txt,247,(Part-time),,Part-time
2006_07_text.txt,257,Dan Helsberg,Dan Helsberg,
2006_07_text.txt,258,(Part-time to Full-time),,Part-time to Full-time
2006_07_text.txt,266,Brenna Homeniuk,Brenna Homeniuk,
2006_07_text.txt,272,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,279,Elki Homsi,Elki Homsi,
2006_07_text.txt,284,Judy Ireland,Judy Ireland,
2006_07_text.txt,285,(Part-time),,Part-time
2006_07_text.txt,292,Linda Joss,Linda Joss,
2006_07_text.txt,293,(Part-time),,Part-time
2006_07_text.txt,304,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,314,Greg Joy,Greg Joy,
2006_07_text.txt,330,Caroline King,Caroline King,
2006_07_text.txt,336,ORHT/LTB,ORHT/LTB,
2006_07_text.txt,342,Jessica Kowalski,Jessica Kowalski,
