report_id,app_code,description,metric_id,value,data_status
2017_2018,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,cases,89,reported
2017_2018,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,defaults,-,not_reported
2017_2018,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,hearings,-,not_reported
2018_2019,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,cases,251,reported
2018_2019,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,defaults,-,not_reported
2018_2019,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,hearings,-,not_reported
2018_2019,C1/2,Combined C1 and C2 Applications,cases,118,reported
2018_2019,C1/2,Combined C1 and C2 Applications,defaults,-,not_reported
2018_2019,C1/2,Combined C1 and C2 Applications,hearings,-,not_reported
2018_2019,C2,End the Occupancy of the Member Unit and Evict the Member,cases,107,reported
2018_2019,C2,End the Occupancy of the Member Unit and Evict the Member,defaults,-,not_reported
2018_2019,C2,End the Occupancy of the Member Unit and Evict the Member,hearings,-,not_reported
2018_2019,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,cases,6,reported
2018_2019,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,defaults,-,not_reported
2018_2019,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,hearings,-,not_reported
2018_2019,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,cases,81,reported
2018_2019,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,defaults,-,not_reported
2018_2019,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,hearings,-,not_reported
2019_2020,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,cases,217,reported
2019_2020,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,defaults,-,not_reported
2019_2020,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,hearings,-,not_reported
2019_2020,C1/2,Combined C1 and C2 Applications,cases,116,reported
2019_2020,C1/2,Combined C1 and C2 Applications,defaults,-,not_reported
2019_2020,C1/2,Combined C1 and C2 Applications,hearings,-,not_reported
2019_2020,C2,End the Occupancy of the Member Unit and Evict the Member,cases,141,reported
2019_2020,C2,End the Occupancy of the Member Unit and Evict the Member,defaults,-,not_reported
2019_2020,C2,End the Occupancy of the Member Unit and Evict the Member,hearings,-,not_reported
2019_2020,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,cases,3,reported
2019_2020,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,defaults,-,not_reported
2019_2020,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,hearings,-,not_reported
2019_2020,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,cases,91,reported
2019_2020,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,defaults,-,not_reported
2019_2020,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,hearings,-,not_reported
2020_2021,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,cases,88,reported
2020_2021,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,defaults,-,not_reported
2020_2021,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,hearings,-,not_reported
2020_2021,C1/2,Combined C1 and C2 Applications,cases,32,reported
2020_2021,C1/2,Combined C1 and C2 Applications,defaults,-,not_reported
2020_2021,C1/2,Combined C1 and C2 Applications,hearings,-,not_reported
2020_2021,C2,End the Occupancy of the Member Unit and Evict the Member,cases,73,reported
2020_2021,C2,End the Occupancy of the Member Unit and Evict the Member,defaults,-,not_reported
2020_2021,C2,End the Occupancy of the Member Unit and Evict the Member,hearings,-,not_reported
2020_2021,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,cases,3,reported
2020_2021,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,defaults,-,not_reported
