report_id,region_id,metric_id,value,unit,notes
2012_2013,region_torontoEast,total_received,,applications,
2012_2013,region_torontoSouth,total_received,,applications,
2013_2014,region_central,total_received,8820,applications,
2013_2014,region_eastern,total_received,8329,applications,
2013_2014,region_northern,total_received,3713,applications,
2013_2014,region_southern,total_received,11392,applications,
2013_2014,region_southwestern,total_received,13488,applications,
2013_2014,region_torontoNorth,total_received,11191,applications,
2013_2014,region_torontoEast,total_received,13112,applications,
2013_2014,region_torontoSouth,total_received,11703,applications,
1998_1999,region_central,total_resolved,8393,applications,
1998_1999,region_eastern,total_resolved,9551,applications,
1998_1999,region_northern,total_resolved,2098,applications,
1998_1999,region_southern,total_resolved,8537,applications,
1998_1999,region_southwestern,total_resolved,10665,applications,
1998_1999,region_torontoNorth,total_resolved,8120,applications,
1998_1999,region_torontoEast,total_resolved,10617,applications,
1998_1999,region_torontoSouth,total_resolved,14350,applications,
1999_2000,region_central,total_resolved,7449,applications,
1999_2000,region_eastern,total_resolved,9664,applications,
1999_2000,region_northern,total_resolved,2079,applications,
1999_2000,region_southern,total_resolved,9120,applications,
1999_2000,region_southwestern,total_resolved,11118,applications,
1999_2000,region_torontoNorth,total_resolved,7992,applications,
1999_2000,region_torontoEast,total_resolved,10650,applications,
1999_2000,region_torontoSouth,total_resolved,12791,applications,
2000_2001,region_central,total_resolved,8456,applications,
2000_2001,region_eastern,total_resolved,9360,applications,
2000_2001,region_northern,total_resolved,2157,applications,
2000_2001,region_southern,total_resolved,9644,applications,
2000_2001,region_southwestern,total_resolved,12347,applications,
2000_2001,region_torontoNorth,total_resolved,9497,applications,
2000_2001,region_torontoEast,total_resolved,12309,applications,
2000_2001,region_torontoSouth,total_resolved,13176,applications,
2001_2002,region_central,total_resolved,8192,applications,
2001_2002,region_eastern,total_resolved,9503,applications,
2001_2002,region_northern,total_resolved,2569,applications,
2001_2002,region_southern,total_resolved,1050,applications,
2001_2002,region_southwestern,total_resolved,12452,applications,
2001_2002,region_torontoNorth,total_resolved,9917,applications,
2001_2002,region_torontoEast,total_resolved,11898,applications,
2001_2002,region_torontoSouth,total_resolved,13708,applications,
2002_2003,region_central,total_resolved,7323,applications,
2002_2003,region_eastern,total_resolved,8126,applications,
2002_2003,region_northern,total_resolved,2524,applications,
2002_2003,region_southern,total_resolved,9689,applications,
2002_2003,region_southwestern,total_resolved,11116,applications,
2002_2003,region_torontoNorth,total_resolved,7843,applications,
2002_2003,region_torontoEast,total_resolved,10437,applications,
2002_2003,region_torontoSouth,total_resolved,11447,applications,
2003_2004,region_central,total_resolved,7511,applications,
2003_2004,region_eastern,total_resolved,8278,applications,
2003_2004,region_northern,total_resolved,2575,applications,
2003_2004,region_southern,total_resolved,9626,applications,
2003_2004,region_southwestern,total_resolved,11736,applications,
2003_2004,region_torontoNorth,total_resolved,9107,applications,
2003_2004,region_torontoEast,total_resolved,10834,applications,
2003_2004,region_torontoSouth,total_resolved,12001,applications,
2004_2005,region_central,total_resolved,7860,applications,
2004_2005,region_eastern,total_resolved,8289,applications,
2004_2005,region_northern,total_resolved,2706,applications,
2004_2005,region_southern,total_resolved,9350,applications,
2004_2005,region_southwestern,total_resolved,11582,applications,
2004_2005,region_torontoNorth,total_resolved,8928,applications,
2004_2005,region_torontoEast,total_resolved,10489,applications,
2004_2005,region_torontoSouth,total_resolved,11323,applications,
2005_2006,region_central,total_resolved,10509,applications,
2005_2006,region_eastern,total_resolved,9792,applications,
2005_2006,region_northern,total_resolved,3238,applications,
2005_2006,region_southern,total_resolved,11576,applications,
2005_2006,region_southwestern,total_resolved,13642,applications,
2005_2006,region_torontoNorth,total_resolved,12637,applications,
2005_2006,region_torontoEast,total_resolved,12807,applications,
2005_2006,region_torontoSouth,total_resolved,13776,applications,
2006_2007,region_central,total_resolved,9575,applications,
2006_2007,region_eastern,total_resolved,8397,applications,
2006_2007,region_northern,total_resolved,3138,applications,
2006_2007,region_southern,total_resolved,10406,applications,
2006_2007,region_southwestern,total_resolved,12447,applications,
2006_2007,region_torontoNorth,total_resolved,11815,applications,
2006_2007,region_torontoEast,total_resolved,11060,applications,
2006_2007,region_torontoSouth,total_resolved,11988,applications,
2007_2008,region_central,total_resolved,9978,applications,
2007_2008,region_eastern,total_resolved,8755,applications,
2007_2008,region_northern,total_resolved,3588,applications,
2007_2008,region_southern,total_resolved,10943,applications,
2007_2008,region_southwestern,total_resolved,13254,applications,
2007_2008,region_torontoNorth,total_resolved,12497,applications,
2007_2008,region_torontoEast,total_resolved,11701,applications,
2007_2008,region_torontoSouth,total_resolved,12515,applications,
2008_2009,region_central,total_resolved,10279,applications,
2008_2009,region_eastern,total_resolved,9512,applications,
2008_2009,region_northern,total_resolved,3982,applications,
2008_2009,region_southern,total_resolved,11819,applications,
2008_2009,region_southwestern,total_resolved,13887,applications,
2008_2009,region_torontoNorth,total_resolved,12926,applications,
2008_2009,region_torontoEast,total_resolved,13142,applications,
2008_2009,region_torontoSouth,total_resolved,12692,applications,
2009_2010,region_central,total_resolved,9847,applications,
2009_2010,region_eastern,total_resolved,9315,applications,
2009_2010,region_northern,total_resolved,3609,applications,
2009_2010,region_southern,total_resolved,10797,applications,
2009_2010,region_southwestern,total_resolved,12813,applications,
2009_2010,region_torontoNorth,total_resolved,10874,applications,
2009_2010,region_torontoEast,total_resolved,13207,applications,
2009_2010,region_torontoSouth,total_resolved,12002,applications,
2010_2011,region_central,total_resolved,8992,applications,
2010_2011,region_eastern,total_resolved,8991,applications,
2010_2011,region_northern,total_resolved,3439,applications,
2010_2011,region_southern,total_resolved,9899,applications,
2010_2011,region_southwestern,total_resolved,12486,applications,
2010_2011,region_torontoNorth,total_resolved,9554,applications,
2010_2011,region_torontoEast,total_resolved,11681,applications,
2010_2011,region_torontoSouth,total_resolved,10378,applications,
2011_2012,region_central,total_resolved,9369,applications,
2011_2012,region_eastern,total_resolved,8069,applications,
2011_2012,region_northern,total_resolved,3454,applications,
2011_2012,region_southern,total_resolved,10694,applications,
