report_id,app_code,description,metric_id,value,data_status
2000_2001,T5,Bad Faith Notice of Termination,defaults,0,reported
2000_2001,T5,Bad Faith Notice of Termination,hearings,88,reported
2000_2001,T6,Maintenance,cases,976,reported
2000_2001,T6,Maintenance,defaults,0,reported
2000_2001,T6,Maintenance,hearings,536,reported
2001_2002,A1,Determine Whether Act Applies,cases,78,reported
2001_2002,A1,Determine Whether Act Applies,defaults,0,reported
2001_2002,A1,Determine Whether Act Applies,hearings,56,reported
2001_2002,A2,Sublet or Assignment,cases,427,reported
2001_2002,A2,Sublet or Assignment,defaults,99,reported
2001_2002,A2,Sublet or Assignment,hearings,281,reported
2001_2002,A3,Combined Application,cases,3740,reported
2001_2002,A3,Combined Application,defaults,669,reported
2001_2002,A3,Combined Application,hearings,2589,reported
2001_2002,A4,Vary Rent Reduction Amount,cases,174,reported
2001_2002,A4,Vary Rent Reduction Amount,defaults,0,reported
2001_2002,A4,Vary Rent Reduction Amount,hearings,17,reported
2001_2002,L1,Termination for Non-Payment of Rent,cases,49590,reported
2001_2002,L1,Termination for Non-Payment of Rent,defaults,29358,reported
2001_2002,L1,Termination for Non-Payment of Rent,hearings,16807,reported
2001_2002,L2,Terminate Tenancy & Evict,cases,8006,reported
2001_2002,L2,Terminate Tenancy & Evict,defaults,1811,reported
2001_2002,L2,Terminate Tenancy & Evict,hearings,5023,reported
2001_2002,L3,Termination: Tenant Gave Notice,cases,1447,reported
2001_2002,L3,Termination: Tenant Gave Notice,defaults,1280,reported
2001_2002,L3,Termination: Tenant Gave Notice,hearings,410,reported
2001_2002,L4,Terminate Tenancy: Failed Settlement,cases,1482,reported
2001_2002,L4,Terminate Tenancy: Failed Settlement,defaults,1281,reported
2001_2002,L4,Terminate Tenancy: Failed Settlement,hearings,571,reported
2001_2002,L5,Rent Increase Above Guidelines,cases,1599,reported
2001_2002,L5,Rent Increase Above Guidelines,defaults,1,reported
2001_2002,L5,Rent Increase Above Guidelines,hearings,907,reported
