report_id,application_family,description,party_type,filings,share_of_total
2002_2003,L9,Collect Rent the Tenant Owes,landlord,0,0.0
2002_2003,T1,Application for a Rebate,tenant,661,0.00970374937608268
2002_2003,T2,Tenant Rights,tenant,3043,0.0446724801080478
2002_2003,T3,Rent Reduction,tenant,110,0.0016148448280924278
2002_2003,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,3,4.404122258433894e-05
2002_2003,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,149,0.002187380721688834
2002_2003,T6,Maintenance,tenant,1205,0.01768989107137614
2002_2003,T7,Suite Meters,tenant,0,0.0
2003_2004,A1,Determine Whether the Act Applies,mixed_other,79,0.001128506942460431
2003_2004,A2,Sublet or an Assignment,mixed_other,244,0.00348551511342209
2003_2004,A3,Combined Application,mixed_other,3801,0.05429689732015314
2003_2004,A4,Vary the Amount of a Rent Reduction,mixed_other,213,0.0030426832752414147
2003_2004,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,51207,0.7314867721844466
2003_2004,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2003_2004,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,5495,0.07849551454202618
2003_2004,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1054,0.015056282498142963
2003_2004,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,2311,0.03301239929146906
2003_2004,L5,Rent Increase Above the Guideline (AGI),landlord,292,0.004171190217701845
2003_2004,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,13,0.0001857036740757671
2003_2004,L7,Transfer a Care Home Tenant,landlord,2,2.8569796011656476e-05
2003_2004,L8,Tenant Changed the Locks,landlord,15,0.00021427347008742356
2003_2004,L9,Collect Rent the Tenant Owes,landlord,0,0.0
2003_2004,T1,Application for a Rebate,tenant,589,0.008413804925432833
2003_2004,T2,Tenant Rights,tenant,3168,0.04525455688246386
2003_2004,T3,Rent Reduction,tenant,69,0.0009856579624021485
2003_2004,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,2,2.8569796011656476e-05
2003_2004,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,119,0.0016999028626935603
2003_2004,T6,Maintenance,tenant,1331,0.019013199245757385
2003_2004,T7,Suite Meters,tenant,0,0.0
2004_2005,A1,Determine Whether the Act Applies,mixed_other,60,0.0008014211869047778
2004_2005,A2,Sublet or an Assignment,mixed_other,237,0.003165613688273872
2004_2005,A3,Combined Application,mixed_other,3801,0.050770032190417674
2004_2005,A4,Vary the Amount of a Rent Reduction,mixed_other,144,0.0019234108485714667
2004_2005,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,55877,0.7463501943446378
2004_2005,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2004_2005,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,5671,0.07574765918228325
2004_2005,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1059,0.014145083948869328
2004_2005,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,2648,0.035369388382064194
2004_2005,L5,Rent Increase Above the Guideline (AGI),landlord,274,0.0036598234201984854
2004_2005,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,19,0.0002537833758531796
2004_2005,L7,Transfer a Care Home Tenant,landlord,2,2.6714039563492594e-05
2004_2005,L8,Tenant Changed the Locks,landlord,23,0.0003072114549801648
2004_2005,L9,Collect Rent the Tenant Owes,landlord,0,0.0
2004_2005,T1,Application for a Rebate,tenant,545,0.007279575781051732
2004_2005,T2,Tenant Rights,tenant,3075,0.041072835828869864
2004_2005,T3,Rent Reduction,tenant,71,0.0009483484045039871
2004_2005,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,2,2.6714039563492594e-05
2004_2005,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,114,0.0015227002551190779
2004_2005,T6,Maintenance,tenant,1245,0.01662948962827414
2004_2005,T7,Suite Meters,tenant,0,0.0
2005_2006,A1,Determine Whether the Act Applies,mixed_other,67,0.0008271604938271604
2005_2006,A2,Sublet or an Assignment,mixed_other,245,0.0030246913580246914
2005_2006,A3,Combined Application,mixed_other,4094,0.05054320987654321
2005_2006,A4,Vary the Amount of a Rent Reduction,mixed_other,9,0.00011111111111111112
2005_2006,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,60446,0.7462469135802469
2005_2006,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2005_2006,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,5969,0.07369135802469136
2005_2006,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1077,0.013296296296296296
2005_2006,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,3268,0.04034567901234568
2005_2006,L5,Rent Increase Above the Guideline (AGI),landlord,209,0.002580246913580247
2005_2006,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,3,3.7037037037037037e-05
2005_2006,L7,Transfer a Care Home Tenant,landlord,0,0.0
2005_2006,L8,Tenant Changed the Locks,landlord,38,0.0004691358024691358
2005_2006,L9,Collect Rent the Tenant Owes,landlord,0,0.0
2005_2006,T1,Application for a Rebate,tenant,620,0.007654320987654321
2005_2006,T2,Tenant Rights,tenant,3391,0.0418641975308642
2005_2006,T3,Rent Reduction,tenant,68,0.0008395061728395062
2005_2006,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,0,0.0
2005_2006,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,99,0.0012222222222222222
2005_2006,T6,Maintenance,tenant,1397,0.017246913580246912
2005_2006,T7,Suite Meters,tenant,0,0.0
2006_2007,A1,Determine Whether the Act Applies,mixed_other,58,0.0008514011420518768
2006_2007,A2,Sublet or an Assignment,mixed_other,216,0.003170735287641472
2006_2007,A3,Combined Application,mixed_other,3268,0.04797205055561264
2006_2007,A4,Vary the Amount of a Rent Reduction,mixed_other,125,0.001834916254422148
2006_2007,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,50683,0.7439924841830219
2006_2007,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2006_2007,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,5089,0.0747031105500345
2006_2007,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,991,0.01454721606505879
2006_2007,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,2683,0.039384642484916986
2006_2007,L5,Rent Increase Above the Guideline (AGI),landlord,242,0.003552397868561279
2006_2007,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,5,7.339665017688592e-05
2006_2007,L7,Transfer a Care Home Tenant,landlord,0,0.0
2006_2007,L8,Tenant Changed the Locks,landlord,16,0.00023486928056603497
2006_2007,L9,Collect Rent the Tenant Owes,landlord,0,0.0
2006_2007,T1,Application for a Rebate,tenant,498,0.007310306357617838
2006_2007,T2,Tenant Rights,tenant,2887,0.042379225812133936
2006_2007,T3,Rent Reduction,tenant,57,0.0008367218120164995
2006_2007,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,0,0.0
2006_2007,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,88,0.0012917810431131924
2006_2007,T6,Maintenance,tenant,1217,0.017864744653054036
2006_2007,T7,Suite Meters,tenant,0,0.0
2007_2008,A1,Determine Whether the Act Applies,mixed_other,75,0.0009310755785082928
2007_2008,A2,Sublet or an Assignment,mixed_other,285,0.0035380871983315128
2007_2008,A3,Combined Application,mixed_other,4005,0.04971943589234284
2007_2008,A4,Vary the Amount of a Rent Reduction,mixed_other,29,0.0003600158903565399
2007_2008,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,55719,0.6917146687853809
2007_2008,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2007_2008,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,6441,0.07996077068229218
2007_2008,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1225,0.015207567782302115
2007_2008,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,5374,0.06671466878538088
2007_2008,L5,Rent Increase Above the Guideline (AGI),landlord,274,0.003401529446816963
2007_2008,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,20,0.00024828682093554476
2007_2008,L7,Transfer a Care Home Tenant,landlord,0,0.0
2007_2008,L8,Tenant Changed the Locks,landlord,24,0.0002979441851226537
2007_2008,L9,Collect Rent the Tenant Owes,landlord,1790,0.022221670473731255
2007_2008,T1,Application for a Rebate,tenant,574,0.007125831760850134
2007_2008,T2,Tenant Rights,tenant,3228,0.04007349289899692
2007_2008,T3,Rent Reduction,tenant,54,0.0006703744165259708
2007_2008,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,0,0.0
2007_2008,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,133,0.0016511073592213724
2007_2008,T6,Maintenance,tenant,1302,0.016163472042903963
2007_2008,T7,Suite Meters,tenant,0,0.0
2008_2009,A1,Determine Whether the Act Applies,mixed_other,89,0.0010368126747437093
2008_2009,A2,Sublet or an Assignment,mixed_other,254,0.0029589934762348554
