report_id,application_family,description,party_type,filings,share_of_total
2014_2015,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,1,1.2573555298496203e-05
2014_2015,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,170,0.0021375044007443545
2014_2015,T6,Maintenance,tenant,1516,0.019061509832520245
2014_2015,T7,Suite Meters,tenant,9,0.00011316199768646583
2015_2016,A1,Determine Whether the Act Applies,mixed_other,131,0.0016427980236261945
2015_2016,A2,Sublet or an Assignment,mixed_other,302,0.003787213764390158
2015_2016,A3,Combined Application,mixed_other,5636,0.0706779363447117
2015_2016,A4,Vary the Amount of a Rent Reduction,mixed_other,76,0.0009530736625617617
2015_2016,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,48940,0.6137292769180608
2015_2016,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2015_2016,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,8876,0.11130897143287101
2015_2016,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1338,0.016779112638258382
2015_2016,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,5559,0.06971232223922148
2015_2016,L5,Rent Increase Above the Guideline (AGI),landlord,433,0.005430011788016353
2015_2016,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,15,0.0001881066439266635
2015_2016,L7,Transfer a Care Home Tenant,landlord,6,7.52426575706654e-05
2015_2016,L8,Tenant Changed the Locks,landlord,28,0.0003511324019964385
2015_2016,L9,Collect Rent the Tenant Owes,landlord,1892,0.02372651802061649
2015_2016,T1,Application for a Rebate,tenant,663,0.008314313661558527
2015_2016,T2,Tenant Rights,tenant,3922,0.04918361716535828
2015_2016,T3,Rent Reduction,tenant,67,0.0008402096762057635
2015_2016,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,0,0.0
2015_2016,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,174,0.0021820370695492964
2015_2016,T6,Maintenance,tenant,1661,0.02082967570414587
2015_2016,T7,Suite Meters,tenant,23,0.0002884301873542174
2016_2017,A1,Determine Whether the Act Applies,mixed_other,153,0.0018784530386740331
2016_2017,A2,Sublet or an Assignment,mixed_other,319,0.0039165131982811545
2016_2017,A3,Combined Application,mixed_other,5701,0.0699938612645795
2016_2017,A4,Vary the Amount of a Rent Reduction,mixed_other,134,0.0016451810926949048
2016_2017,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,49489,0.6075997544505832
2016_2017,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2016_2017,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,9987,0.12261510128913444
2016_2017,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1439,0.01766728054020872
2016_2017,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,5478,0.067255985267035
2016_2017,L5,Rent Increase Above the Guideline (AGI),landlord,575,0.007059545733578883
2016_2017,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,3,3.6832412523020256e-05
2016_2017,L7,Transfer a Care Home Tenant,landlord,1,1.2277470841006752e-05
2016_2017,L8,Tenant Changed the Locks,landlord,37,0.00045426642111724984
2016_2017,L9,Collect Rent the Tenant Owes,landlord,1628,0.019987722529158994
2016_2017,T1,Application for a Rebate,tenant,732,0.008987108655616943
2016_2017,T2,Tenant Rights,tenant,3807,0.04674033149171271
2016_2017,T3,Rent Reduction,tenant,68,0.0008348680171884592
2016_2017,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,6,7.366482504604051e-05
2016_2017,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,211,0.002590546347452425
2016_2017,T6,Maintenance,tenant,1675,0.02056476365868631
2016_2017,T7,Suite Meters,tenant,7,8.594229588704727e-05
2017_2018,A1,Determine Whether the Act Applies,mixed_other,187,0.0023302471058829393
2017_2018,A2,Sublet or an Assignment,mixed_other,389,0.004847412428815312
2017_2018,A3,Combined Application,mixed_other,5676,0.0707298533315057
2017_2018,A4,Vary the Amount of a Rent Reduction,mixed_other,222,0.002766389612331618
2017_2018,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,47595,0.5930915026978529
2017_2018,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2017_2018,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,11404,0.1421076898154494
2017_2018,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1622,0.020212089870278758
2017_2018,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,5552,0.06918466273723037
2017_2018,L5,Rent Increase Above the Guideline (AGI),landlord,559,0.006965818888708893
2017_2018,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,5,6.230607234981121e-05
2017_2018,L7,Transfer a Care Home Tenant,landlord,1,1.2461214469962243e-05
2017_2018,L8,Tenant Changed the Locks,landlord,29,0.00036137521962890506
2017_2018,L9,Collect Rent the Tenant Owes,landlord,1218,0.01517775922441401
2017_2018,T1,Application for a Rebate,tenant,765,0.009532829069521116
2017_2018,T2,Tenant Rights,tenant,2832,0.035290159378933074
2017_2018,T3,Rent Reduction,tenant,71,0.0008847462273673193
2017_2018,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,3,3.738364340988673e-05
2017_2018,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,295,0.0036760582686388614
2017_2018,T6,Maintenance,tenant,1818,0.022654487906391355
2017_2018,T7,Suite Meters,tenant,6,7.476728681977346e-05
2018_2019,A1,Determine Whether the Act Applies,mixed_other,242,0.0029575313168347084
2018_2019,A2,Sublet or an Assignment,mixed_other,444,0.005426214482126489
2018_2019,A3,Combined Application,mixed_other,5142,0.06284142988084326
2018_2019,A4,Vary the Amount of a Rent Reduction,mixed_other,174,0.0021264894592117325
2018_2019,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,46043,0.5627008860372746
2018_2019,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2018_2019,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,13945,0.1704246868316529
2018_2019,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1711,0.0209104796822487
2018_2019,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,5571,0.06808432630614115
2018_2019,L5,Rent Increase Above the Guideline (AGI),landlord,717,0.008762603116406966
2018_2019,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,4,4.88848151542927e-05
2018_2019,L7,Transfer a Care Home Tenant,landlord,5,6.110601894286588e-05
2018_2019,L8,Tenant Changed the Locks,landlord,39,0.0004766269477543538
2018_2019,L9,Collect Rent the Tenant Owes,landlord,1394,0.017036358081271005
2018_2019,T1,Application for a Rebate,tenant,863,0.01054689886953865
2018_2019,T2,Tenant Rights,tenant,3053,0.0373113351665139
2018_2019,T3,Rent Reduction,tenant,148,0.0018087381607088298
2018_2019,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,1,1.2221203788573175e-05
2018_2019,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,355,0.004338527344943477
2018_2019,T6,Maintenance,tenant,1970,0.024075771463489153
2018_2019,T7,Suite Meters,tenant,4,4.88848151542927e-05
2019_2020,A1,Determine Whether the Act Applies,mixed_other,187,0.0023122387912060736
2019_2020,A2,Sublet or an Assignment,mixed_other,553,0.00683779706704256
2019_2020,A3,Combined Application,mixed_other,4596,0.05682914162771719
2019_2020,A4,Vary the Amount of a Rent Reduction,mixed_other,86,0.0010633825456883548
2019_2020,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,44621,0.5517347973390706
2019_2020,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2019_2020,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,15732,0.19452481638103716
2019_2020,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1877,0.02320894230531444
2019_2020,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,5156,0.06375349308801345
2019_2020,L5,Rent Increase Above the Guideline (AGI),landlord,758,0.00937260429804387
2019_2020,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,1,1.2364913321957613e-05
2019_2020,L7,Transfer a Care Home Tenant,landlord,1,1.2364913321957613e-05
2019_2020,L8,Tenant Changed the Locks,landlord,41,0.0005069614462002622
2019_2020,L9,Collect Rent the Tenant Owes,landlord,900,0.011128421989761852
2019_2020,T1,Application for a Rebate,tenant,884,0.01093058337661053
2019_2020,T2,Tenant Rights,tenant,3072,0.037985013725053786
2019_2020,T3,Rent Reduction,tenant,78,0.0009644632391126938
2019_2020,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,4,4.945965328783045e-05
2019_2020,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,408,0.005044884635358706
2019_2020,T6,Maintenance,tenant,1914,0.023666444098226873
2019_2020,T7,Suite Meters,tenant,5,6.182456660978807e-05
2020_2021,A1,Determine Whether the Act Applies,mixed_other,160,0.003304283177068275
2020_2021,A2,Sublet or an Assignment,mixed_other,457,0.00943785882450126
2020_2021,A3,Combined Application,mixed_other,1648,0.03403411672380323
2020_2021,A4,Vary the Amount of a Rent Reduction,mixed_other,110,0.002271694684234439
2020_2021,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,24481,0.5055759778613027
2020_2021,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2020_2021,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,11031,0.22780967328900087
2020_2021,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1391,0.028726611870637315
2020_2021,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,1551,0.032030895047705586
2020_2021,L5,Rent Increase Above the Guideline (AGI),landlord,404,0.008343315022097394
2020_2021,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,1,2.065176985667672e-05
2020_2021,L7,Transfer a Care Home Tenant,landlord,6,0.0001239106191400603
2020_2021,L8,Tenant Changed the Locks,landlord,25,0.0005162942464169179
2020_2021,L9,Collect Rent the Tenant Owes,landlord,1104,0.022799553921771097
2020_2021,T1,Application for a Rebate,tenant,718,0.014827970757093883
2020_2021,T2,Tenant Rights,tenant,3145,0.06494981619924828
2020_2021,T3,Rent Reduction,tenant,68,0.0014043203502540167
2020_2021,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,4,8.260707942670687e-05
2020_2021,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,316,0.006525959274709843
2020_2021,T6,Maintenance,tenant,1795,0.03706992689273471
2020_2021,T7,Suite Meters,tenant,7,0.00014456238899673702
2021_2022,A1,Determine Whether the Act Applies,mixed_other,195,0.0031599928697596787
2021_2022,A2,Sublet or an Assignment,mixed_other,435,0.007049214863310052
2021_2022,A3,Combined Application,mixed_other,2181,0.03534330486638902
2021_2022,A4,Vary the Amount of a Rent Reduction,mixed_other,56,0.0009074851318284204
2021_2022,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,31240,0.5062470628271403
2021_2022,L10,Collect Money a Former Tenant Owes,landlord,3,4.861527491937967e-05
2021_2022,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,13937,0.22585036218379814
2021_2022,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,2289,0.03709345476348669
2021_2022,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,3545,0.05744704986306698
2021_2022,L5,Rent Increase Above the Guideline (AGI),landlord,613,0.009933721175193245
2021_2022,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,0,0.0
2021_2022,L7,Transfer a Care Home Tenant,landlord,2,3.2410183279586443e-05
2021_2022,L8,Tenant Changed the Locks,landlord,35,0.0005671782073927628
2021_2022,L9,Collect Rent the Tenant Owes,landlord,931,0.015086940316647491
2021_2022,T1,Application for a Rebate,tenant,843,0.013660892252345687
2021_2022,T2,Tenant Rights,tenant,2991,0.04846942909462153
2021_2022,T3,Rent Reduction,tenant,99,0.001604304072339529
2021_2022,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,8,0.00012964073311834577
2021_2022,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,550,0.008912800401886273
2021_2022,T6,Maintenance,tenant,1752,0.028391320552917727
2021_2022,T7,Suite Meters,tenant,4,6.482036655917289e-05
2022_2023,A1,Determine Whether the Act Applies,mixed_other,252,0.003456553048487758
2022_2023,A2,Sublet or an Assignment,mixed_other,604,0.008284754132089706
2022_2023,A3,Combined Application,mixed_other,3819,0.0523832384610109
2022_2023,A4,Vary the Amount of a Rent Reduction,mixed_other,7,9.601536245799327e-05
2022_2023,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,37690,0.5169741444345382
2022_2023,L10,Collect Money a Former Tenant Owes,landlord,992,0.013606748508332761
2022_2023,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,15354,0.2106028393114327
2022_2023,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,2656,0.03643097181263288
2022_2023,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,3366,0.04616967286194362
2022_2023,L5,Rent Increase Above the Guideline (AGI),landlord,605,0.008298470612440849
2022_2023,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,0,0.0
2022_2023,L7,Transfer a Care Home Tenant,landlord,2,2.7432960702283796e-05
2022_2023,L8,Tenant Changed the Locks,landlord,46,0.0006309580961525273
2022_2023,L9,Collect Rent the Tenant Owes,landlord,615,0.008435635415952266
2022_2023,T1,Application for a Rebate,tenant,1105,0.015156710788011797
2022_2023,T2,Tenant Rights,tenant,2874,0.03942116452918181
2022_2023,T3,Rent Reduction,tenant,116,0.0015911117207324601
2022_2023,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,25,0.0003429120087785474
2022_2023,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,1067,0.014635484534668404
2022_2023,T6,Maintenance,tenant,1697,0.0232768671558878
2022_2023,T7,Suite Meters,tenant,13,0.00017831424456484467
2023_2024,A1,Determine Whether the Act Applies,mixed_other,265,0.0032367598202071527
2023_2024,A2,Sublet or an Assignment,mixed_other,747,0.009123998436583935
2023_2024,A3,Combined Application,mixed_other,3638,0.04443521594684385
2023_2024,A4,Vary the Amount of a Rent Reduction,mixed_other,15,0.00018321282001172563
2023_2024,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,41386,0.5054963846003517
2023_2024,L10,Collect Money a Former Tenant Owes,landlord,1261,0.015402091068985733
2023_2024,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,16677,0.20369601328903655
2023_2024,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,2936,0.0358608559702951
2023_2024,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,5535,0.06760553058432675
2023_2024,L5,Rent Increase Above the Guideline (AGI),landlord,912,0.011139339456712917
2023_2024,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,0,0.0
2023_2024,L7,Transfer a Care Home Tenant,landlord,3,3.6642564002345125e-05
2023_2024,L8,Tenant Changed the Locks,landlord,52,0.0006351377760406489
2023_2024,L9,Collect Rent the Tenant Owes,landlord,858,0.010479773304670705
2023_2024,T1,Application for a Rebate,tenant,1359,0.016599081493062343
2023_2024,T2,Tenant Rights,tenant,3184,0.03888997459448896
2023_2024,T3,Rent Reduction,tenant,110,0.001343560680085988
2023_2024,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,16,0.00019542700801250732
2023_2024,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,1113,0.013594391244870042
2023_2024,T6,Maintenance,tenant,1790,0.021863396521399257
2023_2024,T7,Suite Meters,tenant,15,0.00018321282001172563
2024_2025,A1,Determine Whether the Act Applies,mixed_other,256,0.002927855803101697
2024_2025,A2,Sublet or an Assignment,mixed_other,840,0.009607026853927444
2024_2025,A3,Combined Application,mixed_other,3727,0.0426254631959376
2024_2025,A4,Vary the Amount of a Rent Reduction,mixed_other,14,0.00016011711423212407
2024_2025,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,45435,0.519637220366897
2024_2025,L10,Collect Money a Former Tenant Owes,landlord,1757,0.020094697836131572
2024_2025,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,15838,0.18113820394345578
2024_2025,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,2648,0.03028500846333318
2024_2025,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,6613,0.0756324626012169
2024_2025,L5,Rent Increase Above the Guideline (AGI),landlord,1028,0.011757170959330253
2024_2025,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,0,0.0
2024_2025,L7,Transfer a Care Home Tenant,landlord,4,4.574774692346402e-05
2024_2025,L8,Tenant Changed the Locks,landlord,43,0.0004917882794272382
2024_2025,L9,Collect Rent the Tenant Owes,landlord,900,0.010293243057779405
2024_2025,T1,Application for a Rebate,tenant,1618,0.018504963630541195
2024_2025,T2,Tenant Rights,tenant,3480,0.039800539823413694
2024_2025,T3,Rent Reduction,tenant,142,0.0016240450157829728
2024_2025,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,29,0.0003316711651951141
2024_2025,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,941,0.01076215746374491
2024_2025,T6,Maintenance,tenant,2110,0.02413193650212727
2024_2025,T7,Suite Meters,tenant,13,0.00014868017750125807
